visitors,ad_impressions,major_sports_event,genre,dayofweek,season,views_trailer,views_content
1.61,1311.96,0,Romance,Saturday,Winter,48.82,0.4
2.14,1477.62,0,Action,Friday,Winter,191.92,0.7
2.14,1714.73,0,Action,Thursday,Winter,50.39,0.5
2.03,1083.48,0,Sci-Fi,Wednesday,Winter,44.21,0.54
1.35,1321.7,0,Drama,Friday,Winter,50.68,0.48
1.75,1420.88,0,Drama,Wednesday,Spring,58.87,0.51
1.73,1614.01,0,Romance,Wednesday,Winter,83.19,0.66
1.64,1402.24,0,Romance,Wednesday,Summer,48.22,0.41
1.25,1590.19,1,Sci-Fi,Friday,Summer,37.72,0.22
1.68,1590.19,1,Drama,Friday,Winter,42.59,0.35
1.69,1079.19,0,Action,Friday,Winter,179.26,0.73
1.44,1554.74,0,Comedy,Sunday,Spring,54.34,0.45
1.33,1231.3,1,Romance,Wednesday,Summer,57.61,0.32
1.44,1554.74,1,Others,Saturday,Fall,50.62,0.36
1.9,1294.78,0,Horror,Wednesday,Fall,56.74,0.42
1.83,1992.53,0,Drama,Wednesday,Fall,53.6,0.52
1.36,1639.83,1,Horror,Wednesday,Fall,52.34,0.38
1.48,1614.01,0,Thriller,Friday,Fall,64.23,0.38
1.41,1311.96,1,Thriller,Friday,Spring,45.47,0.3
1.59,1079.19,1,Thriller,Wednesday,Summer,54.03,0.38
1.49,1146.51,0,Horror,Wednesday,Fall,58.0,0.44
1.77,1311.96,1,Horror,Friday,Fall,50.11,0.39
1.82,1152.29,0,Comedy,Friday,Fall,165.58,0.63
1.63,1663.8,0,Thriller,Friday,Fall,46.93,0.41
1.9,1336.16,0,Thriller,Sunday,Winter,52.93,0.48
1.59,1210.33,1,Others,Friday,Summer,55.55,0.35
1.82,1477.62,1,Sci-Fi,Sunday,Winter,160.0,0.69
1.73,1361.12,1,Sci-Fi,Sunday,Fall,184.12,0.64
1.81,1361.12,0,Romance,Friday,Spring,35.55,0.35
1.57,1199.38,0,Comedy,Thursday,Fall,59.59,0.38
1.69,1663.8,0,Drama,Friday,Winter,52.36,0.54
1.39,1390.62,0,Others,Friday,Winter,47.31,0.39
1.53,1714.73,0,Others,Friday,Summer,151.45,0.64
1.25,1639.83,1,Others,Wednesday,Summer,61.13,0.44
1.93,1346.22,0,Romance,Friday,Fall,55.55,0.44
1.79,2162.24,0,Romance,Wednesday,Fall,47.43,0.44
1.67,1161.18,0,Action,Friday,Winter,53.0,0.46
2.14,1161.18,0,Comedy,Friday,Summer,56.59,0.57
1.77,1346.22,0,Horror,Thursday,Summer,57.17,0.47
1.55,1060.86,0,Horror,Friday,Winter,52.39,0.39
1.92,1623.67,0,Romance,Thursday,Fall,54.23,0.45
1.59,1361.12,0,Comedy,Thursday,Winter,51.37,0.33
1.61,1361.12,1,Comedy,Wednesday,Winter,54.87,0.36
1.59,1246.03,0,Romance,Thursday,Summer,103.03,0.66
1.75,1321.7,0,Sci-Fi,Sunday,Spring,53.7,0.56
1.57,1172.7,1,Sci-Fi,Wednesday,Summer,54.26,0.42
1.61,1391.57,1,Romance,Friday,Winter,48.06,0.39
1.98,1557.2,1,Action,Friday,Spring,54.3,0.42
1.62,1031.85,1,Others,Friday,Spring,57.55,0.53
1.75,2158.03,0,Action,Friday,Spring,53.82,0.5
1.98,1557.2,1,Romance,Sunday,Spring,82.5,0.53
1.92,1172.7,0,Others,Wednesday,Fall,51.85,0.43
1.93,1357.74,0,Others,Friday,Fall,50.74,0.35
1.5,1623.67,0,Others,Monday,Summer,56.72,0.47
1.85,1741.52,0,Others,Friday,Summer,54.51,0.44
1.61,1060.86,0,Others,Sunday,Winter,55.39,0.4
1.39,1284.86,0,Horror,Wednesday,Fall,50.36,0.38
1.74,1161.18,0,Action,Thursday,Summer,53.55,0.42
2.06,1359.8,0,Action,Wednesday,Summer,50.04,0.62
1.81,1890.97,0,Romance,Saturday,Winter,159.73,0.8
1.46,1554.74,1,Horror,Thursday,Summer,54.87,0.4
1.69,1323.74,0,Action,Saturday,Winter,49.97,0.54
1.85,1383.58,1,Action,Wednesday,Spring,123.12,0.61
1.44,1146.51,0,Romance,Wednesday,Fall,46.28,0.36
1.61,1972.77,0,Comedy,Friday,Spring,147.26,0.73
1.81,1172.7,0,Thriller,Sunday,Summer,149.64,0.76
1.73,1698.35,0,Others,Thursday,Winter,55.01,0.42
2.02,1248.27,0,Horror,Wednesday,Summer,52.44,0.53
2.34,1388.28,1,Others,Wednesday,Winter,50.45,0.48
1.9,1231.3,1,Action,Sunday,Winter,48.72,0.35
1.39,1311.96,1,Romance,Wednesday,Spring,52.24,0.43
1.35,1403.8,0,Comedy,Friday,Spring,59.26,0.52
1.76,2158.03,0,Sci-Fi,Sunday,Fall,55.53,0.4
1.58,2158.03,1,Romance,Friday,Summer,53.54,0.42
1.44,1152.29,1,Others,Thursday,Winter,45.39,0.32
1.64,1890.97,1,Others,Sunday,Fall,86.69,0.46
1.48,1590.19,1,Thriller,Friday,Spring,49.94,0.32
1.58,1323.74,0,Comedy,Sunday,Spring,57.85,0.43
1.46,1231.3,1,Romance,Friday,Fall,54.12,0.33
1.75,1992.53,1,Thriller,Sunday,Winter,50.89,0.39
1.44,1557.2,0,Others,Friday,Spring,59.93,0.44
1.33,1714.73,0,Others,Friday,Fall,136.76,0.58
2.16,1146.51,0,Others,Thursday,Winter,38.1,0.46
1.46,1391.57,0,Others,Wednesday,Winter,54.79,0.43
1.75,1190.25,0,Drama,Friday,Summer,55.79,0.44
1.73,1031.85,1,Romance,Wednesday,Fall,56.53,0.44
1.93,1229.35,0,Action,Thursday,Winter,50.98,0.5
1.63,1420.88,0,Thriller,Wednesday,Spring,50.03,0.42
2.03,1402.24,1,Romance,Wednesday,Summer,53.12,0.49
1.5,1830.39,0,Others,Friday,Summer,76.14,0.54
1.6,1629.94,0,Drama,Friday,Spring,111.86,0.49
1.7,1420.88,1,Comedy,Thursday,Summer,43.87,0.42
2.14,1714.73,1,Others,Friday,Winter,52.98,0.42
1.83,1383.58,0,Sci-Fi,Friday,Fall,51.45,0.45
1.69,1140.23,0,Action,Friday,Spring,162.72,0.63
1.67,1336.16,0,Romance,Thursday,Winter,54.64,0.37
1.83,1992.53,1,Thriller,Friday,Winter,52.82,0.33
1.57,1420.88,0,Others,Friday,Spring,58.1,0.44
1.84,1200.65,1,Romance,Friday,Spring,49.76,0.39
1.53,1557.2,0,Sci-Fi,Friday,Summer,51.84,0.39
1.72,1698.35,0,Others,Friday,Fall,55.74,0.45
1.95,1420.88,0,Others,Friday,Summer,50.91,0.4
1.69,1146.51,1,Comedy,Wednesday,Spring,52.75,0.42
1.9,1663.8,0,Others,Wednesday,Summer,63.84,0.5
1.33,1294.78,1,Action,Friday,Fall,51.48,0.27
1.6,1336.16,0,Others,Friday,Winter,55.66,0.44
1.59,1200.65,0,Action,Wednesday,Spring,52.81,0.41
1.57,1152.29,0,Horror,Wednesday,Winter,57.42,0.46
1.8,1420.88,1,Drama,Saturday,Summer,46.17,0.48
1.7,1614.01,0,Others,Saturday,Summer,58.75,0.49
1.84,1623.67,0,Sci-Fi,Wednesday,Fall,51.6,0.52
2.14,1113.81,0,Comedy,Friday,Winter,50.78,0.44
1.81,1439.04,0,Action,Friday,Summer,46.16,0.46
1.82,1067.64,0,Others,Sunday,Winter,45.04,0.54
1.9,1402.24,0,Sci-Fi,Wednesday,Summer,157.8,0.65
2.19,1477.62,1,Comedy,Wednesday,Winter,55.54,0.47
2.19,1294.78,0,Drama,Friday,Summer,50.5,0.54
2.02,1199.38,1,Drama,Friday,Spring,44.03,0.37
1.98,1357.74,0,Sci-Fi,Friday,Fall,49.96,0.46
1.9,1083.48,0,Comedy,Friday,Spring,59.07,0.44
1.7,1323.74,0,Others,Wednesday,Fall,48.51,0.44
2.06,1383.58,0,Sci-Fi,Friday,Summer,52.66,0.5
1.82,1439.04,1,Horror,Wednesday,Summer,47.77,0.5
1.92,1614.01,0,Horror,Wednesday,Winter,59.28,0.55
1.85,1231.3,1,Comedy,Friday,Fall,54.51,0.39
2.03,1152.29,1,Comedy,Monday,Summer,46.38,0.41
1.59,1690.43,0,Sci-Fi,Friday,Fall,49.76,0.37
1.92,1294.78,0,Thriller,Saturday,Spring,55.84,0.49
2.14,1031.85,0,Action,Friday,Winter,53.4,0.51
1.83,1383.58,0,Others,Friday,Winter,52.02,0.43
1.46,1119.9,0,Others,Friday,Summer,49.19,0.43
1.73,1525.32,1,Romance,Sunday,Winter,52.47,0.53
1.81,1698.35,1,Drama,Thursday,Summer,51.11,0.47
1.44,1469.85,1,Action,Sunday,Summer,45.34,0.36
1.79,1698.35,0,Romance,Wednesday,Spring,41.62,0.51
1.26,1329.48,0,Comedy,Wednesday,Fall,62.55,0.43
1.36,1152.29,1,Comedy,Friday,Winter,58.76,0.27
1.75,1700.04,0,Others,Wednesday,Winter,50.87,0.44
1.9,1113.81,0,Others,Wednesday,Fall,45.47,0.36
1.53,1477.62,1,Drama,Saturday,Winter,57.4,0.41
1.46,1830.39,0,Sci-Fi,Friday,Winter,167.49,0.69
1.67,1146.51,0,Thriller,Monday,Fall,49.83,0.49
1.68,1336.16,1,Drama,Friday,Spring,54.33,0.39
2.02,1992.53,0,Romance,Friday,Summer,53.46,0.49
1.72,1145.37,0,Horror,Friday,Summer,57.39,0.51
1.9,1391.57,1,Others,Friday,Spring,57.26,0.3
1.76,1145.37,0,Comedy,Tuesday,Spring,51.9,0.46
2.02,1329.48,0,Comedy,Wednesday,Summer,52.88,0.59
1.44,1342.77,0,Others,Friday,Winter,57.45,0.35
1.61,1140.23,1,Others,Wednesday,Spring,54.76,0.47
1.74,1361.12,0,Action,Saturday,Summer,51.88,0.51
1.9,1216.54,0,Romance,Friday,Winter,49.2,0.43
1.54,1311.96,1,Others,Wednesday,Winter,50.37,0.44
1.7,1010.87,1,Comedy,Wednesday,Fall,49.44,0.5
1.82,1190.25,1,Sci-Fi,Friday,Winter,99.98,0.54
2.19,1391.57,0,Romance,Friday,Summer,51.65,0.53
2.16,1741.52,0,Others,Wednesday,Spring,57.98,0.54
1.73,1383.58,1,Drama,Saturday,Spring,163.5,0.64
1.92,1590.19,0,Action,Friday,Spring,55.38,0.5
1.75,1200.65,0,Others,Friday,Winter,51.05,0.39
1.78,1700.04,0,Others,Wednesday,Fall,154.39,0.71
1.69,1557.2,1,Others,Wednesday,Spring,52.11,0.4
1.59,2424.2,1,Romance,Friday,Summer,55.21,0.43
1.59,1663.8,1,Horror,Friday,Summer,83.04,0.49
2.02,1398.05,1,Thriller,Wednesday,Winter,61.99,0.56
1.46,1890.97,0,Action,Friday,Spring,50.22,0.37
1.75,1402.24,0,Comedy,Thursday,Fall,50.4,0.42
1.69,1346.22,1,Drama,Wednesday,Spring,55.0,0.38
1.73,2158.03,0,Others,Friday,Spring,52.17,0.42
1.78,1294.78,1,Others,Friday,Summer,51.6,0.42
1.73,1342.77,0,Others,Wednesday,Winter,48.31,0.52
1.78,1554.74,0,Others,Friday,Fall,53.39,0.37
1.55,1420.88,0,Comedy,Friday,Fall,54.7,0.44
1.64,1469.85,0,Drama,Friday,Spring,55.77,0.5
1.49,1420.88,1,Thriller,Thursday,Summer,57.47,0.43
1.95,1654.93,1,Horror,Friday,Summer,44.27,0.5
2.14,1190.25,0,Others,Friday,Winter,51.97,0.46
1.93,1383.58,0,Action,Sunday,Winter,155.83,0.68
1.76,1928.85,1,Comedy,Wednesday,Spring,49.78,0.34
1.83,1329.48,1,Drama,Saturday,Spring,43.85,0.48
1.57,1031.85,0,Drama,Thursday,Summer,52.29,0.49
1.33,1199.38,0,Thriller,Friday,Summer,49.03,0.4
1.59,1359.8,1,Others,Wednesday,Fall,53.26,0.4
1.61,1398.05,1,Comedy,Wednesday,Fall,60.13,0.36
2.03,2122.33,1,Comedy,Wednesday,Summer,53.4,0.63
1.9,2424.2,1,Others,Wednesday,Winter,55.13,0.48
1.81,1060.86,1,Horror,Friday,Spring,94.72,0.5
1.83,1294.78,0,Comedy,Friday,Fall,53.73,0.46
1.85,1614.01,1,Drama,Saturday,Spring,48.75,0.45
1.41,1554.74,0,Others,Friday,Fall,55.38,0.4
1.39,1402.24,1,Thriller,Wednesday,Fall,52.75,0.33
1.81,1200.65,0,Thriller,Friday,Fall,50.83,0.44
2.03,2122.33,1,Thriller,Friday,Spring,58.59,0.54
2.14,1229.35,0,Thriller,Saturday,Summer,58.14,0.64
1.75,1231.3,0,Sci-Fi,Saturday,Spring,50.23,0.55
1.7,1690.43,0,Others,Saturday,Summer,35.58,0.41
1.73,1189.32,0,Action,Friday,Spring,47.14,0.35
1.48,1081.23,1,Others,Friday,Summer,51.45,0.36
1.6,1336.16,1,Comedy,Friday,Summer,52.7,0.39
2.34,1231.3,0,Others,Thursday,Fall,53.65,0.58
1.35,1031.85,1,Comedy,Thursday,Summer,111.92,0.45
1.7,1388.28,0,Action,Wednesday,Spring,54.13,0.55
1.73,1231.3,0,Sci-Fi,Friday,Spring,51.51,0.42
1.25,1383.58,1,Action,Sunday,Fall,111.98,0.47
1.9,1361.12,1,Others,Wednesday,Spring,50.41,0.39
1.44,1216.54,0,Others,Tuesday,Winter,174.58,0.62
1.53,1992.53,0,Sci-Fi,Friday,Winter,57.98,0.49
2.34,1081.23,1,Thriller,Friday,Fall,53.93,0.45
1.57,1639.83,0,Sci-Fi,Friday,Fall,54.79,0.34
1.69,1152.29,1,Drama,Sunday,Summer,103.12,0.5
1.47,1229.35,0,Others,Friday,Summer,54.13,0.42
1.67,1060.86,0,Others,Wednesday,Spring,31.95,0.48
1.54,1469.85,0,Drama,Monday,Winter,53.4,0.43
2.06,1190.25,1,Action,Tuesday,Spring,53.98,0.36
1.48,1710.1,0,Others,Tuesday,Winter,56.55,0.44
1.81,1388.28,0,Sci-Fi,Friday,Summer,52.4,0.46
1.46,1083.48,1,Others,Sunday,Summer,53.99,0.28
1.55,1992.53,1,Romance,Friday,Spring,43.99,0.33
1.48,1383.58,1,Drama,Wednesday,Winter,53.34,0.4
1.7,1663.8,1,Action,Sunday,Winter,121.92,0.63
1.75,1383.58,0,Others,Friday,Spring,55.23,0.54
1.7,1200.65,1,Romance,Wednesday,Spring,199.92,0.79
1.33,1060.86,1,Sci-Fi,Friday,Fall,50.01,0.29
2.06,1346.22,0,Others,Thursday,Spring,51.21,0.44
1.7,1654.93,1,Others,Monday,Summer,46.01,0.52
1.7,1890.97,1,Thriller,Friday,Spring,51.76,0.38
1.85,1119.9,0,Others,Wednesday,Spring,32.73,0.42
1.59,1152.29,1,Comedy,Wednesday,Fall,56.53,0.4
1.54,1629.94,0,Others,Wednesday,Spring,59.15,0.49
1.49,1199.38,1,Others,Wednesday,Spring,51.38,0.39
1.55,1992.53,0,Sci-Fi,Wednesday,Fall,168.79,0.69
2.14,1067.64,1,Others,Wednesday,Spring,58.4,0.47
1.25,1972.77,1,Others,Friday,Summer,48.3,0.35
2.19,1700.04,1,Horror,Friday,Fall,53.45,0.39
1.92,1698.35,0,Others,Sunday,Summer,49.02,0.48
1.68,1083.48,0,Comedy,Wednesday,Fall,51.27,0.45
1.59,1210.33,1,Thriller,Wednesday,Fall,55.25,0.38
2.19,2424.2,0,Comedy,Wednesday,Spring,50.84,0.63
1.81,1210.33,0,Thriller,Wednesday,Summer,57.03,0.4
1.64,1700.04,0,Thriller,Friday,Summer,49.08,0.5
1.9,1525.32,1,Others,Wednesday,Fall,82.71,0.57
1.79,1060.86,0,Comedy,Friday,Summer,54.97,0.37
1.6,1928.85,1,Drama,Wednesday,Winter,152.93,0.65
1.54,1830.39,1,Thriller,Wednesday,Winter,52.61,0.4
1.44,1391.57,0,Comedy,Friday,Spring,54.54,0.34
1.35,1294.78,0,Romance,Friday,Fall,54.49,0.34
1.73,1172.7,0,Romance,Wednesday,Spring,52.86,0.42
1.73,1311.96,0,Others,Wednesday,Fall,52.68,0.54
1.83,1010.87,1,Horror,Wednesday,Summer,56.75,0.51
1.46,1199.38,0,Others,Saturday,Summer,47.83,0.52
1.72,1698.35,1,Thriller,Friday,Summer,52.31,0.44
1.73,1321.7,1,Comedy,Saturday,Winter,53.66,0.38
1.57,1357.74,1,Action,Wednesday,Spring,54.92,0.38
1.79,1083.48,0,Comedy,Thursday,Summer,50.14,0.5
1.81,1321.7,1,Romance,Friday,Fall,55.45,0.31
1.7,1200.65,0,Others,Friday,Spring,54.01,0.47
1.54,1403.8,0,Comedy,Friday,Spring,52.39,0.4
1.83,1554.74,1,Thriller,Wednesday,Summer,150.05,0.68
1.98,1083.48,0,Others,Friday,Spring,52.26,0.5
1.67,1391.57,0,Others,Friday,Summer,50.66,0.47
1.93,1172.7,1,Action,Thursday,Winter,54.69,0.41
1.68,1231.3,0,Others,Friday,Fall,49.78,0.45
1.83,1700.04,1,Action,Wednesday,Winter,50.3,0.38
1.7,1246.03,1,Sci-Fi,Wednesday,Winter,56.43,0.48
1.63,1629.94,1,Thriller,Wednesday,Fall,107.86,0.57
1.72,1390.62,0,Drama,Friday,Fall,120.44,0.57
1.33,1152.29,1,Drama,Wednesday,Fall,143.07,0.6
1.92,1402.24,0,Others,Monday,Fall,57.69,0.4
1.57,1686.75,0,Horror,Friday,Fall,48.35,0.43
1.81,1357.74,0,Horror,Friday,Winter,57.48,0.46
1.77,1231.3,1,Thriller,Sunday,Fall,46.27,0.35
1.59,1031.85,1,Others,Sunday,Winter,134.08,0.66
1.82,1639.83,1,Drama,Thursday,Winter,51.85,0.39
1.35,1119.9,0,Horror,Friday,Summer,51.73,0.34
1.9,1391.57,1,Drama,Wednesday,Spring,55.93,0.38
1.95,1323.74,0,Romance,Wednesday,Fall,53.94,0.52
2.02,1714.73,0,Comedy,Sunday,Spring,54.78,0.46
1.35,1690.43,0,Others,Wednesday,Fall,52.9,0.51
1.68,1152.29,1,Thriller,Wednesday,Spring,49.41,0.3
1.46,1398.05,1,Others,Saturday,Winter,50.23,0.48
1.7,1346.22,1,Horror,Friday,Summer,56.88,0.42
1.6,1113.81,1,Others,Friday,Summer,196.95,0.69
1.59,1588.38,0,Sci-Fi,Friday,Spring,48.97,0.38
1.41,1152.29,0,Thriller,Friday,Spring,136.25,0.63
1.59,1498.41,0,Comedy,Saturday,Fall,56.87,0.45
2.06,1654.93,0,Comedy,Sunday,Fall,51.97,0.55
1.69,2158.03,0,Thriller,Wednesday,Winter,132.93,0.7
1.69,1146.51,1,Others,Wednesday,Winter,132.19,0.63
1.68,1189.26,1,Others,Wednesday,Winter,51.0,0.4
1.85,1119.9,0,Thriller,Thursday,Summer,145.18,0.71
1.68,1199.38,1,Romance,Friday,Summer,53.4,0.41
1.69,1383.58,0,Sci-Fi,Monday,Spring,124.07,0.54
1.5,1210.33,1,Romance,Sunday,Fall,48.97,0.28
1.9,1590.19,0,Comedy,Saturday,Summer,98.16,0.69
1.33,1361.12,0,Comedy,Wednesday,Spring,57.68,0.47
1.47,1010.87,0,Others,Friday,Summer,56.9,0.43
1.57,1189.26,0,Horror,Friday,Fall,55.27,0.4
2.06,1554.74,0,Comedy,Wednesday,Winter,55.15,0.57
1.9,1067.64,0,Others,Thursday,Winter,72.01,0.51
2.34,1830.39,0,Comedy,Wednesday,Winter,49.9,0.55
1.44,1383.58,0,Horror,Thursday,Summer,56.22,0.47
1.64,1992.53,0,Drama,Friday,Summer,49.62,0.4
1.73,1639.83,1,Drama,Wednesday,Summer,51.47,0.47
1.33,1189.26,1,Romance,Wednesday,Winter,72.98,0.37
1.59,1081.23,1,Comedy,Friday,Winter,44.37,0.39
1.68,1060.86,1,Comedy,Friday,Winter,57.26,0.42
1.59,1469.85,1,Comedy,Wednesday,Spring,53.32,0.43
2.19,1119.9,0,Sci-Fi,Wednesday,Spring,52.04,0.59
1.57,1229.35,1,Drama,Wednesday,Spring,158.15,0.74
1.55,1161.18,0,Romance,Friday,Spring,57.59,0.48
1.69,1359.8,1,Others,Wednesday,Spring,49.1,0.32
1.64,1342.77,1,Others,Wednesday,Summer,59.47,0.39
1.44,1200.65,1,Others,Friday,Fall,49.75,0.28
1.73,1067.64,1,Others,Friday,Winter,188.27,0.68
1.76,1391.57,0,Others,Monday,Spring,49.64,0.46
2.14,1690.43,1,Comedy,Monday,Spring,55.21,0.42
1.73,1557.2,1,Thriller,Thursday,Fall,183.24,0.68
1.79,2122.33,1,Romance,Wednesday,Spring,56.67,0.41
1.73,1890.97,1,Others,Wednesday,Summer,54.13,0.43
1.61,1498.41,1,Others,Friday,Fall,53.6,0.27
1.55,1336.16,1,Thriller,Thursday,Spring,54.42,0.34
1.55,1402.24,1,Others,Wednesday,Spring,58.74,0.36
1.9,1663.8,1,Drama,Friday,Spring,173.36,0.63
1.53,1231.3,0,Thriller,Friday,Spring,198.72,0.78
2.02,1172.7,1,Others,Tuesday,Fall,48.08,0.34
1.78,1083.48,0,Others,Sunday,Spring,52.75,0.61
1.54,1388.28,0,Others,Friday,Spring,57.4,0.45
1.61,1262.25,1,Others,Thursday,Winter,51.36,0.4
1.77,1439.04,0,Horror,Wednesday,Spring,54.86,0.45
1.73,1190.25,0,Others,Saturday,Fall,47.27,0.47
1.68,1701.97,0,Others,Friday,Winter,132.94,0.61
1.5,1710.1,1,Romance,Wednesday,Spring,52.14,0.41
1.8,1113.81,0,Others,Friday,Winter,50.9,0.57
2.34,1398.05,1,Sci-Fi,Wednesday,Winter,154.69,0.77
1.44,1972.77,1,Drama,Friday,Summer,52.22,0.44
1.92,1246.03,1,Others,Friday,Fall,173.79,0.62
1.59,2122.33,0,Sci-Fi,Thursday,Summer,162.77,0.73
1.57,1323.74,1,Sci-Fi,Wednesday,Spring,55.61,0.51
1.41,1262.25,1,Comedy,Friday,Fall,172.74,0.56
1.61,1031.85,0,Thriller,Wednesday,Fall,59.0,0.55
1.57,1928.85,1,Drama,Friday,Winter,106.52,0.56
1.9,1146.51,1,Others,Wednesday,Spring,54.95,0.42
1.69,1383.58,0,Horror,Wednesday,Spring,35.25,0.44
1.81,1248.27,1,Thriller,Wednesday,Summer,52.86,0.51
1.75,1031.85,0,Romance,Thursday,Spring,189.64,0.78
1.78,1557.2,1,Others,Wednesday,Fall,54.04,0.34
2.16,1972.77,1,Others,Friday,Winter,54.58,0.42
1.49,1361.12,0,Drama,Friday,Fall,50.21,0.37
1.54,1231.3,0,Others,Wednesday,Winter,58.01,0.48
1.68,1439.04,1,Thriller,Wednesday,Spring,192.57,0.76
1.85,1200.65,1,Drama,Wednesday,Fall,55.99,0.43
1.95,1398.05,1,Thriller,Wednesday,Winter,57.27,0.41
1.8,1700.04,0,Romance,Friday,Winter,138.13,0.68
2.02,1557.2,0,Others,Friday,Fall,52.25,0.48
1.35,1469.85,0,Thriller,Wednesday,Fall,57.31,0.47
1.72,1654.93,0,Romance,Tuesday,Fall,56.99,0.5
1.95,1172.7,1,Drama,Friday,Winter,58.13,0.47
1.46,1189.26,1,Thriller,Saturday,Winter,47.2,0.41
1.61,2162.24,0,Horror,Saturday,Winter,53.67,0.48
1.7,1119.9,0,Thriller,Friday,Summer,51.66,0.37
2.16,1113.81,0,Drama,Friday,Spring,62.54,0.54
1.61,1119.9,1,Romance,Friday,Spring,103.16,0.5
1.8,1231.3,1,Romance,Wednesday,Winter,63.03,0.49
1.7,1189.26,1,Drama,Thursday,Winter,54.08,0.34
1.59,1248.27,1,Others,Thursday,Fall,57.39,0.32
1.57,1189.26,1,Others,Friday,Fall,49.33,0.37
1.78,1031.85,1,Sci-Fi,Thursday,Spring,45.14,0.38
2.03,1329.48,1,Romance,Wednesday,Spring,50.39,0.49
1.69,1614.01,1,Sci-Fi,Friday,Spring,51.94,0.38
1.72,1890.97,1,Thriller,Friday,Fall,198.36,0.68
1.41,1060.86,0,Others,Wednesday,Spring,53.58,0.49
1.83,1189.26,1,Others,Saturday,Spring,48.72,0.39
1.59,1284.86,0,Others,Friday,Fall,54.47,0.4
1.9,1329.48,1,Others,Wednesday,Spring,57.09,0.44
1.49,1010.87,0,Horror,Wednesday,Fall,106.62,0.55
1.75,1172.7,0,Others,Thursday,Spring,46.49,0.42
1.9,1557.2,1,Others,Wednesday,Fall,33.37,0.37
1.62,1469.85,0,Thriller,Sunday,Spring,50.17,0.43
1.54,1714.73,0,Others,Wednesday,Summer,49.98,0.54
1.76,1262.25,0,Horror,Thursday,Summer,53.04,0.43
1.83,1398.05,0,Others,Friday,Fall,55.58,0.42
1.33,1216.54,0,Horror,Wednesday,Summer,54.19,0.44
1.27,1383.58,1,Others,Friday,Fall,88.58,0.48
1.34,1329.48,1,Action,Monday,Summer,138.03,0.58
2.02,1403.8,1,Drama,Wednesday,Fall,56.84,0.51
1.92,1161.18,1,Thriller,Saturday,Summer,55.24,0.4
2.16,1554.74,1,Comedy,Friday,Fall,52.09,0.43
1.46,1557.2,1,Sci-Fi,Saturday,Spring,53.91,0.45
1.54,2122.33,0,Action,Thursday,Spring,56.82,0.45
1.68,1391.57,0,Horror,Sunday,Spring,52.27,0.52
1.85,1329.48,0,Comedy,Friday,Spring,49.52,0.41
1.81,1361.12,1,Thriller,Friday,Fall,56.58,0.45
1.36,2122.33,0,Others,Thursday,Summer,54.68,0.57
1.58,1067.64,1,Others,Sunday,Fall,53.64,0.36
1.5,1690.43,0,Others,Friday,Summer,48.46,0.4
2.34,1629.94,0,Others,Wednesday,Fall,128.97,0.82
1.73,1323.74,1,Thriller,Sunday,Fall,45.27,0.45
1.9,1698.35,0,Action,Thursday,Fall,50.95,0.42
1.6,1388.28,0,Horror,Tuesday,Winter,48.61,0.41
1.6,1311.96,1,Drama,Wednesday,Fall,75.7,0.44
1.62,1654.93,0,Thriller,Wednesday,Spring,50.62,0.4
2.14,1383.58,1,Horror,Friday,Summer,104.01,0.55
1.48,1294.78,1,Thriller,Friday,Winter,153.55,0.55
1.7,1145.37,0,Sci-Fi,Wednesday,Spring,54.39,0.45
2.02,1686.75,0,Horror,Wednesday,Winter,53.96,0.53
1.61,1311.96,1,Others,Friday,Spring,50.73,0.37
1.67,1010.87,1,Comedy,Wednesday,Spring,53.09,0.49
1.84,1199.38,1,Romance,Saturday,Summer,47.48,0.39
1.95,1469.85,1,Others,Wednesday,Summer,118.35,0.7
1.7,1294.78,1,Romance,Thursday,Spring,95.83,0.5
1.59,1890.97,0,Others,Friday,Fall,47.79,0.38
1.58,1639.83,1,Others,Sunday,Spring,52.52,0.44
1.62,1321.7,1,Drama,Saturday,Fall,49.5,0.32
1.8,1231.3,0,Action,Saturday,Fall,55.81,0.48
1.77,1246.03,1,Others,Wednesday,Fall,57.44,0.43
2.14,1346.22,1,Thriller,Saturday,Fall,51.53,0.48
1.41,1246.03,0,Others,Wednesday,Fall,51.27,0.43
1.39,1229.35,0,Horror,Wednesday,Summer,55.1,0.6
1.9,1216.54,0,Thriller,Thursday,Spring,57.69,0.46
1.27,1200.65,0,Horror,Wednesday,Fall,54.45,0.39
1.46,1890.97,0,Thriller,Wednesday,Fall,48.75,0.4
1.81,1216.54,1,Thriller,Wednesday,Winter,80.27,0.5
1.74,1402.24,1,Action,Sunday,Fall,44.28,0.32
1.64,1200.65,0,Others,Saturday,Summer,52.6,0.55
1.59,1890.97,0,Thriller,Friday,Summer,174.62,0.8
1.59,1623.67,0,Horror,Wednesday,Spring,187.34,0.74
1.41,1329.48,1,Romance,Saturday,Spring,53.81,0.35
1.53,1590.19,0,Sci-Fi,Saturday,Summer,50.81,0.5
1.35,1284.86,0,Action,Saturday,Summer,50.33,0.42
1.68,1614.01,1,Action,Monday,Summer,57.66,0.45
1.61,1189.26,0,Others,Friday,Spring,49.09,0.42
1.34,1391.57,0,Others,Wednesday,Summer,55.82,0.4
1.77,1262.25,0,Comedy,Wednesday,Winter,54.29,0.58
1.35,1383.58,1,Comedy,Friday,Spring,145.12,0.65
